REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,BIGNONA,KAFOUNTINE,DIANNA,3,525,CLASSE CP
ZIGUINCHOR,BIGNONA,KAFOUNTINE,DIANNAH KABAR,1,431,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KAFOUNTINE,DIOGUE,1,343,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,HAERE,1,253,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,HILLOL,1,305,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,HITOU,1,289,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,1,557,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,2,553,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,3,550,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,4,549,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,5,552,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,6,542,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,7,544,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,8,546,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,9,482,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,10,481,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,11,479,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,12,531,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,13,475,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,KAFOUNTINE,14,481,CEM KAFOUNTINE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KAFOUNTINE,NIOMOUNE,1,368,CLASSE CI
ZIGUINCHOR,BIGNONA,KAFOUNTINE,SALOULOU,1,302,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,BASSIRE,1,589,CLASSE CM2
ZIGUINCHOR,BIGNONA,KARTIACK,DIANKI,1,477,CLASSE CP2
ZIGUINCHOR,BIGNONA,KARTIACK,DIANKI,2,476,CLASSE CE 1
ZIGUINCHOR,BIGNONA,KARTIACK,DIANKI,3,476,CLASSE CE2 B
ZIGUINCHOR,BIGNONA,KARTIACK,KARTIACK,1,542,CLASSE CE1
ZIGUINCHOR,BIGNONA,KARTIACK,KARTIACK,2,539,CLASSE CE2
ZIGUINCHOR,BIGNONA,KARTIACK,KARTIACK,3,525,CLASSE CM2
ZIGUINCHOR,BIGNONA,KARTIACK,KARTIACK,4,352,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KARTIACK,THIOBON,1,581,CLASSE CE1
ZIGUINCHOR,BIGNONA,KARTIACK,THIOBON,2,581,CLASSE CM1
ZIGUINCHOR,BIGNONA,KARTIACK,BANDJIKAKI,1,328,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,BANDJIKAKI,2,332,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,KARTIACK,DAROUL KHAIRY,1,457,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,DARSALAM CHERIF,1,351,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,DARSALAM CHERIF,2,349,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KARTIACK,DOMBONDIR,1,342,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KABADIO,1,526,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KABADIO,2,513,CLASSE CM 2
ZIGUINCHOR,BIGNONA,KARTIACK,KABADIO,3,335,CLASSE CM2 B
ZIGUINCHOR,BIGNONA,KARTIACK,KATABA 1,1,432,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KATABA 1,2,191,CLASSE CM2
ZIGUINCHOR,BIGNONA,KARTIACK,KATABA 2,1,428,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KATACK,1,424,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KOUBANACK,1,409,CLASSE CI
ZIGUINCHOR,BIGNONA,KARTIACK,KOUBANACK,2,408,CLASSE CM 2
