REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,15,529,LYCEE LEOPOLD S.SENGHOR SALLE 23
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,1,317,CLASSE CI B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,2,317,CLASSE CI A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,3,315,CLASSE CP A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,4,317,CLASSE CP B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,5,316,CLASSE CE1 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,6,317,CLASSE CM2 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,7,317,CLASSE CM2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,8,315,CLASSE CM1 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,9,317,CLASSE CE2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,10,315,CLASSE CE2 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,1,451,CLASSE CM1A
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,2,451,CLASSE CE2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,3,450,CLASSE CE1A
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,4,449,CLASSE CE2B
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,5,449,CLASSE CM1B
THIES,MBOUR,JOAL FADIOUTH,LYCEE LEOPOLD SEDAR SENGHOR,1,526,SALLE 24
THIES,MBOUR,JOAL FADIOUTH,LYCEE LEOPOLD SEDAR SENGHOR,2,526,SALLE 25
THIES,MBOUR,JOAL FADIOUTH,LYCEE LEOPOLD SEDAR SENGHOR,3,524,LABORATOIRE
THIES,MBOUR,MALICOUNDA,CROISEMENT PEULHGA,1,146,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,ECOLE SIDIBOUGOU,1,327,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,1,588,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,2,583,ECOLE ELEMANTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,3,575,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,4,576,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,5,577,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,6,557,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,7,554,ECOLE ELEMENTAIRE SALLE 7
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,8,555,ECOLE ELEMENTAIRE SALLE 8
THIES,MBOUR,MALICOUNDA,FALOKH SERERE,9,555,ECOLE ELEMENTAIRE SALLE 9
THIES,MBOUR,MALICOUNDA,FANDANE SERERE,1,577,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,FANDANE SERERE,2,577,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,KEUR MASSYLA GUEYE,1,546,ECOLE ELE KEUR BALA LO SALLE 1
THIES,MBOUR,MALICOUNDA,KEUR MASSYLA GUEYE,2,221,ECOLE ELE KEUR BALA LO SALLE 2
THIES,MBOUR,MALICOUNDA,MALICOUNDA,1,431,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MALICOUNDA,2,429,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,MALICOUNDA,3,429,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,MALICOUNDA,MALICOUNDA,4,431,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,MALICOUNDA,MALICOUNDA,5,431,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,MALICOUNDA,MALICOUNDA,6,430,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,MALICOUNDA,MALICOUNDA,7,429,FOYER DES JEUNES
THIES,MBOUR,MALICOUNDA,MALICOUNDA,8,427,FOYER DES JEUNES
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,1,567,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,2,566,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,3,566,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,4,566,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,5,564,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,MALICOUNDA,MALICOUNDA BAMBARA,6,566,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,MALICOUNDA,MALICOUNDA NGONGOM,1,504,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MALICOUNDA NGOUKHOUDJ,1,559,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MALICOUNDA NGOUKHOUDJ,2,559,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,MALICOUNDA SERERE,1,473,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MALICOUNDA SERERE,2,472,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,MALICOUNDA SERERE,3,473,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,MALICOUNDA,MBALLING,1,579,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,MBALLING,2,564,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,MBALLING,3,567,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,MALICOUNDA,MBALLING,4,572,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,MALICOUNDA,MBALLING,5,511,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,MALICOUNDA,MBALLING,6,512,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,MALICOUNDA,MBOULEME,1,477,ECOLE ELEMENTAIRE
THIES,MBOUR,MALICOUNDA,NIANING,1,564,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,MALICOUNDA,NIANING,2,563,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,MALICOUNDA,NIANING,3,566,ECOLE ELEMENTAIRE SALLE 3
