REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BOUNKILING,FAOUNE,MADINA BOCAR SY,1,298,CLASSE CE2
SEDHIOU,BOUNKILING,FAOUNE,MADINA BOCAR SY,2,299,CLASSE CM1
SEDHIOU,BOUNKILING,FAOUNE,MADINA DEMBA GANO,1,448,CP
SEDHIOU,BOUNKILING,FAOUNE,MADINA DEMBA GANO,2,138,CLASSE CP
SEDHIOU,BOUNKILING,FAOUNE,SARA ALPHA,1,216,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,FAOUNE,SARE DEMBA THIOUNE,1,297,ECOLE SARE DEMBA THIOUNE CLASSE CI
SEDHIOU,BOUNKILING,FAOUNE,SARE PATHE DIALLO,1,365,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,1,211,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,2,211,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,FAOUNE,TOUBA MOURIDE,1,375,CLASSE CI
SEDHIOU,BOUNKILING,FAOUNE,TOUBA MOURIDE,2,373,CLASSE CP
SEDHIOU,BOUNKILING,FAOUNE,TOUBA MOURIDE,3,373,ECOLE TOUBA MOURIDE CLASSE CM2
SEDHIOU,BOUNKILING,INOR,BARANDAMA,1,153,ECOLE CLASSE SALLE 1
SEDHIOU,BOUNKILING,INOR,BASSADA,1,135,CLASSE CI
SEDHIOU,BOUNKILING,INOR,BISSARI KANSOYE,1,267,CLASSE CI
SEDHIOU,BOUNKILING,INOR,DIOUROUR 1,1,137,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,INOR,DIOUROUR 2,1,102,ECOLE CLASSE SALLE 1
SEDHIOU,BOUNKILING,INOR,GADIALEL,1,291,CLASSE CI
SEDHIOU,BOUNKILING,INOR,INOR,1,479,CLASSE CI
SEDHIOU,BOUNKILING,INOR,INOR,2,476,CLASSE CM1
SEDHIOU,BOUNKILING,INOR,INOR,3,327,SALLE DE CLASSE
SEDHIOU,BOUNKILING,INOR,KANDIALON,1,351,ECOLE CLASSE CM1
SEDHIOU,BOUNKILING,INOR,KANDIALON,2,351,ECOLE CLASSE CM2
SEDHIOU,BOUNKILING,INOR,MAGNORA DIOLA,1,285,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,INOR,MAYOR,1,437,CLASSE CM1
SEDHIOU,BOUNKILING,INOR,MEDINA LAMINE SALL,1,232,CLASSE CI
SEDHIOU,BOUNKILING,INOR,TASLIMA,1,266,ECOLE CLASSE SALLE 1
SEDHIOU,BOUNKILING,INOR,TOBOR,1,192,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,INOR,VELINGARA FAMARA MANE,1,118,CLASSE CE1
SEDHIOU,BOUNKILING,KANDION MANGANA,KAMBOUSSEMA,1,295,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,KANDION MANGANA,KANDION MANGANA,1,393,CLASSE CM1
SEDHIOU,BOUNKILING,KANDION MANGANA,SANCANDI,1,254,ECOLE CLASSE SALLE 2
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,1,581,CLASSE CI A
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,2,581,CLASSE CP B
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,3,579,CLASSE CM1 A
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,4,580,CLASSE CM2 B
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,5,580,LYCEE MEDINA WANDIFA SALLE 6
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,6,582,LYCEE MEDINA WANDIFA SALLE 7
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,7,580,LYCEE MEDINA WANDIFA SALLE 8
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,8,579,ECOLE TOUBE ELHADJI CM2
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,9,580,ECOLE TOUBE ELHADJI CE2
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,10,580,ECOLE TOUBE ELHADJI CP
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,11,579,ECOLE TOUBA EL HADJI CI
SEDHIOU,BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,12,581,ECOLE TOUBA EL HADJI CE1
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,1,586,ECOLE CP
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,2,586,ECOLE CI B
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,3,585,ECOLE CE 1 B
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,4,584,ECOLE CI A
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,5,585,ECOLE CE 1 A
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,6,586,ECOLE CM1
SEDHIOU,BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,7,586,MAISON COMM. SALLE CONF.
SEDHIOU,BOUNKILING,NDIAMALATHIEL,DATOR KOUTA,1,139,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,1,214,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,2,213,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,3,213,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,1,377,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,2,378,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE TOUBA FALL,1,268,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,1,385,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,2,384,SALLE DE CLASSE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,KANICOUNDA,1,295,CLASSE CE1
SEDHIOU,BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,1,525,CLASSE CM1
SEDHIOU,BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,2,524,CLASSE CM2
SEDHIOU,BOUNKILING,NDIAMALATHIEL,SARE BITEYE,1,236,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,NDIAMALATHIEL,SARE FODE,1,521,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,NDIAMALATHIEL,SARE FODE,2,519,ECOLE CLASSE CE2
SEDHIOU,BOUNKILING,TANKON,DAROU SALAM MADY MBAYE,1,413,ECOLE DAROU S. M. M SALLE DE CLASSE
SEDHIOU,BOUNKILING,TANKON,DAROU SALAM MADY MBAYE,2,409,ECOLE DAROU S. M. M SALLE DE CLASSE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE BAMBADALLA,1,451,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE KOEL MOUNKTALLA,1,286,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SACITA,1,309,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SARE BOCARA,1,327,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SARE HAMATH SAMBA 2,1,530,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SARE HAMATH SAMBA 2,2,100,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SATEME,1,484,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,ECOLE DE SATEME,2,283,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,GOUTOU DEMBA BA,1,289,ECOLE GOUTOU D.BA SALLE DE CLASSE
SEDHIOU,BOUNKILING,TANKON,SARE HAMATH SAMBA 1,1,115,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,TANKON,SARE MAMADY DIALLO,1,464,CLASSE CI
SEDHIOU,BOUNKILING,TANKON,TANKON,1,549,CLASSE CI
SEDHIOU,BOUNKILING,TANKON,TANKON,2,549,CLASSE CE1
SEDHIOU,BOUNKILING,TANKON,TANKON,3,549,CLASSE CM1
SEDHIOU,GOUDOMP,BAGHERE,BAGHERE,1,305,CLASSE CI
SEDHIOU,GOUDOMP,BAGHERE,BAGHERE,2,304,CLASSE CP
SEDHIOU,GOUDOMP,BAGHERE,BAKIDIOTO,1,471,CLASSE CI
SEDHIOU,GOUDOMP,BAGHERE,DIAMAYE,1,96,CLASSE CE2
SEDHIOU,GOUDOMP,BAGHERE,DIARIFA,1,155,CLASSE DE CM1
SEDHIOU,GOUDOMP,BAGHERE,FADIOUNGHAR,1,163,CLASSE CM2
SEDHIOU,GOUDOMP,BAGHERE,KAFOUL,1,257,CLASSE CI
SEDHIOU,GOUDOMP,BAGHERE,KANDIENOU SOUCOTOTO,1,403,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,1,151,CLASSE DE CM 2
SEDHIOU,GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,2,148,CLASSE DE CM2
SEDHIOU,GOUDOMP,BAGHERE,KENEWAL,1,434,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,BAGHERE,LAMEL,1,221,CLASSE CI
SEDHIOU,GOUDOMP,BAGHERE,LAMEL,2,222,CLASSE CP2
SEDHIOU,GOUDOMP,BAGHERE,LAMEL,3,223,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,BAGHERE,SANSANCOUTOTO,1,281,CLASSE CI
SEDHIOU,GOUDOMP,BAGHERE,SANSANCOUTOTO,2,281,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,BAGHERE,SARE SAMBEL,1,156,CLASSE CM2
SEDHIOU,GOUDOMP,BAGHERE,SOLIKO,1,97,CLASSE CM2
SEDHIOU,GOUDOMP,BAGHERE,TALICOURTO,1,195,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,BAGHERE,TALICOURTO,2,194,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,DIATTACOUNDA,ECOLE 1 DE DIATTACOUNDA 1,1,560,ECOLE ELEMENTAIRE CLASSE CM2
SEDHIOU,GOUDOMP,DIATTACOUNDA,ECOLE 1 DE DIATTACOUNDA 1,2,561,ECOLE ELEMENTAIRE CLASSE CM1
SEDHIOU,GOUDOMP,DIATTACOUNDA,ECOLE 1 DE DIATTACOUNDA 1,3,289,CLASSE CE2
SEDHIOU,GOUDOMP,DIATTACOUNDA,ECOLE 2 DE DIATTACOUNDA 1,1,587,ECOLE ELEMENTAIRE CLASSE CM2
SEDHIOU,GOUDOMP,DIATTACOUNDA,ECOLE 2 DE DIATTACOUNDA 1,2,586,SALLE DE CLASSE
SEDHIOU,GOUDOMP,DIOUDOUBOU,BAMABALI BRASSOU,1,236,ECOLE ELEMENTAIRE CM2
SEDHIOU,GOUDOMP,DIOUDOUBOU,BORAYA,1,330,CLASSE CI
SEDHIOU,GOUDOMP,DIOUDOUBOU,DIOUDOUBOU,1,190,ABRI PROVISOIRE
SEDHIOU,GOUDOMP,DIOUDOUBOU,DIOUDOUBOU,2,190,CLASSE DE CE2
SEDHIOU,GOUDOMP,DIOUDOUBOU,ECOLE DE MANECOUNDA,1,300,SALLE DE CLASSE
SEDHIOU,GOUDOMP,DIOUDOUBOU,MALANDIANCOUNDA,1,312,CLASSE CI
SEDHIOU,GOUDOMP,DIOUDOUBOU,SANOUFILI,1,512,CLASSE CI
SEDHIOU,GOUDOMP,DIOUDOUBOU,TABADIAN KABACOTO,1,288,CLASSE CI
SEDHIOU,GOUDOMP,DJIBANAR,BAFATA 1,1,565,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,BIRKAMA,1,512,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,BIRKAMA,2,512,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,GOUDOMP,DJIBANAR,BIRKAMA,3,513,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,GOUDOMP,DJIBANAR,DIATTACOUNDA 2,1,519,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,1,589,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,2,582,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,3,586,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,4,580,ECOLE ELEMENTAIRE SALLE 4
SEDHIOU,GOUDOMP,DJIBANAR,DJIBANAR,5,66,ECOLE ELEMENTAIRE CLASSE CM1 A
SEDHIOU,GOUDOMP,DJIBANAR,KLONIA,1,153,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,KOUNAYAN,1,567,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,DJIBANAR,KOUNAYAN,2,77,CLASSE CE1
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,1,573,CLASSE CIA
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,2,573,CLASSE CPA
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,3,572,CLASSE CPB
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,4,572,CLASSE CE1 B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,5,573,CLASSE CE2 A
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,6,572,CLASSE CM1 A
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,7,572,CLASSE CM1 B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,1,511,CLASSE CM2A
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,2,510,CLASSE CM2B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,3,510,CLASSE CM1B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,4,509,SALLE DE CLASSE
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,1,403,CLASSE CM1A
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,2,404,CLASSE CM1B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,3,403,CLASSE CE1A
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,4,402,CLASSE CE1B
SEDHIOU,GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE BINDABA 1,1,276,CLASSE CM1
SEDHIOU,GOUDOMP,KAOUR,KANEMA MANCAGNE,1,135,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,KAOUR,KAOUR,1,481,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,KAOUR,KAOUR,2,480,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,GOUDOMP,KAOUR,MANECOUNDA 2,1,219,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,KAOUR,MANGACOUNDA,1,336,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,KAOUR,MANGACOUNDA,2,334,ECOLE ELEMENTAIRE SALLE DE CLA
SEDHIOU,GOUDOMP,KAOUR,PONTODOSSE,1,250,ECOLE ELEMENTAIRE SALLE1
SEDHIOU,GOUDOMP,KAOUR,SINGHERE,1,361,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,GOUDOMP,KARANTABA,BAMBADIONG,1,513,CLASSE CM1
SEDHIOU,GOUDOMP,KARANTABA,DIARENG,1,414,CLASSE CE2
SEDHIOU,GOUDOMP,KARANTABA,DIARENG,2,416,CLASSE CM1
SEDHIOU,GOUDOMP,KARANTABA,DIARENG,3,415,CLASSE CE1
SEDHIOU,GOUDOMP,KARANTABA,DJIDINKY MANDINGUE,1,422,CLASSE CE2
SEDHIOU,GOUDOMP,KARANTABA,KARANTABA,1,577,CLASSE CI
SEDHIOU,GOUDOMP,KARANTABA,KARANTABA,2,577,CLASSE CE1
SEDHIOU,GOUDOMP,KARANTABA,KARANTABA,3,575,CLASSE CE2
SEDHIOU,GOUDOMP,KARANTABA,KARANTABA,4,574,CLASSE CM1
SEDHIOU,GOUDOMP,KARANTABA,KOUBONI,1,297,CLASSE CI
SEDHIOU,GOUDOMP,KARANTABA,MANCONONDING,1,159,ECOLE ELEMENTAIRE CE1
SEDHIOU,GOUDOMP,KARANTABA,SAMBOU,1,253,CLASSE CI
SEDHIOU,GOUDOMP,KARANTABA,SANDINIERI,1,458,CLASSE CI
SEDHIOU,GOUDOMP,KARANTABA,SANDINIERI,2,456,CLASSE CE1
SEDHIOU,GOUDOMP,KOLIBANTANG,BANTANDIANG,1,302,CLASSE CP
